time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
0,39.25,0.43,22.75,0.43,33.75,1.30,b1
250,39.25,0.43,23.00,0.00,33.00,0.00,b1
500,39.25,0.43,23.25,0.43,33.00,0.00,b1
750,39.50,0.50,23.00,0.71,33.00,0.00,b1
1000,39.50,0.50,24.00,0.00,33.00,0.00,b1
1250,39.25,0.43,24.00,0.00,33.00,0.00,b1
1500,39.25,0.43,24.00,0.00,33.00,0.00,b1
1750,39.00,0.00,23.75,0.43,33.00,0.00,b1
2000,39.50,0.50,24.00,0.00,33.00,0.00,b1
2250,39.50,0.50,23.00,0.00,33.00,0.00,b1
2500,39.50,0.50,23.25,0.43,33.00,0.00,b1
2750,39.50,0.50,23.50,0.50,32.75,0.43,b1
3000,39.50,0.50,23.75,0.43,32.50,0.50,b1
3250,39.67,0.47,23.75,0.43,33.00,0.00,b1
3500,39.50,0.50,24.00,0.00,33.00,0.00,b1
3750,39.50,0.50,23.25,0.43,33.00,0.00,b1
4000,39.50,0.50,22.50,0.50,33.00,0.00,b1
4250,39.50,0.50,22.00,0.71,33.00,0.00,b1
4500,40.25,0.83,21.00,0.00,33.00,0.00,b1
4750,40.50,0.50,18.67,1.70,33.00,0.00,b1
5000,40.67,0.47,15.50,0.87,33.00,0.00,b1
5250,40.50,0.50,15.00,0.00,33.00,0.00,b1
5500,40.50,0.50,15.00,0.00,33.00,0.00,b1
5750,40.33,0.47,16.00,0.00,33.00,0.00,b1
6000,40.50,0.50,16.00,0.71,33.00,0.00,b1
6250,40.50,0.50,16.50,0.87,33.00,0.00,b1
6500,40.50,0.50,17.50,0.87,33.00,0.00,b1
6750,40.50,0.50,19.75,1.09,33.75,1.30,b1
7000,40.75,0.83,21.00,0.00,33.00,0.00,b1
7250,40.75,0.83,21.00,0.00,33.00,0.00,b1
7500,41.00,1.00,20.75,0.43,33.75,1.30,b1
7750,41.00,1.00,19.67,0.47,34.00,1.41,b1
8000,40.75,0.83,19.25,0.43,33.75,1.30,b1
8250,40.67,0.47,19.75,0.43,34.00,1.41,b1
8500,41.00,0.82,19.00,0.71,35.00,1.41,b1
8750,41.00,0.89,17.75,1.09,34.20,1.47,b1
9000,41.50,0.50,18.00,0.00,33.00,0.00,b1
9250,41.67,0.47,19.50,0.50,33.75,1.30,b1
9500,41.25,0.83,20.25,0.43,34.25,1.30,b1
9750,41.00,0.82,20.33,0.47,33.75,1.30,b1
10000,41.50,0.50,21.00,0.00,33.75,1.30,b1
10250,41.50,0.50,19.25,1.30,33.00,0.00,b1
10500,41.50,0.50,17.75,0.83,34.50,1.50,b1
10750,41.50,0.50,19.00,0.71,35.25,1.30,b1
11000,41.50,0.50,15.50,2.18,33.00,0.00,b1
11250,41.75,0.43,15.00,0.00,33.50,0.87,b1
11500,41.75,0.43,14.75,0.43,33.00,0.00,b1
11750,41.75,0.43,11.75,0.43,33.75,1.30,b1
12000,41.75,0.43,13.75,1.09,34.50,1.50,b1
12250,41.50,0.50,13.50,1.50,33.75,1.30,b1
12500,41.50,0.50,13.33,1.25,33.00,0.00,b1
12750,41.50,0.50,16.25,1.30,33.00,0.00,b1
13000,41.75,0.43,17.75,0.43,32.50,0.50,b1
13250,41.75,0.43,16.00,0.71,33.00,0.00,b1
13500,42.00,0.00,15.00,1.00,33.00,0.00,b1
13750,42.00,0.00,13.50,1.12,33.00,0.00,b1
14000,41.75,0.43,13.00,1.22,33.00,0.00,b1
14250,41.75,0.43,13.25,1.09,33.00,0.00,b1
14500,41.50,0.50,12.25,0.43,33.00,0.00,b1
14750,41.67,0.47,13.00,1.00,33.00,0.00,b1
15000,41.50,0.50,12.50,0.87,33.00,0.00,b1
15250,41.50,0.50,14.50,0.50,32.75,0.43,b1
15500,41.33,0.47,14.67,2.49,33.75,1.30,b1
15750,41.50,0.50,17.50,1.50,33.00,0.00,b1
16000,41.50,0.50,16.50,1.12,33.75,1.30,b1
16250,41.75,0.43,15.25,1.09,33.00,0.00,b1
16500,42.00,0.00,15.75,0.83,33.00,0.00,b1
16750,41.75,0.43,15.75,0.43,33.00,0.00,b1
17000,42.00,0.00,15.00,0.00,33.00,0.00,b1
17250,41.75,0.43,15.33,0.47,33.00,0.00,b1
17500,42.00,0.00,4.00,0.00,33.00,0.00,b1
17750,41.75,0.43,9.50,1.80,33.00,0.00,b1
18000,42.00,0.00,10.67,0.47,33.00,0.00,b1
18250,41.50,0.50,13.00,1.00,33.75,1.30,b1
18500,41.50,0.50,9.00,2.16,33.00,0.00,b1
18750,41.75,0.43,13.50,0.87,33.00,0.00,b1
19000,42.00,0.00,13.50,7.23,33.00,0.00,b1
19250,41.75,0.43,10.00,3.08,33.00,0.00,b1
19500,41.67,0.47,16.33,2.62,33.75,1.30,b1
19750,42.00,0.00,13.50,0.87,33.00,0.00,b1
20000,41.75,0.43,13.00,0.71,33.00,0.00,b1
20250,42.00,0.00,9.25,2.68,33.00,0.00,b1
20500,42.00,0.00,13.75,2.17,33.00,0.00,b1
20750,42.00,0.00,18.00,1.22,33.75,1.30,b1
21000,42.00,0.00,18.25,0.43,35.25,1.30,b1
21250,42.00,0.00,18.00,0.00,36.00,0.00,b1
21500,42.00,0.00,17.00,0.82,36.00,0.00,b1
21750,42.00,0.00,16.00,0.71,33.75,1.30,b1
22000,42.00,0.00,16.50,1.12,35.00,1.41,b1
22250,42.00,0.00,15.75,0.83,33.75,1.30,b1
22500,42.00,0.00,18.00,0.00,33.75,1.30,b1
22750,42.00,0.00,18.00,0.00,34.75,1.09,b1
23000,42.00,0.00,18.00,0.00,35.00,1.22,b1
23250,42.00,0.00,18.00,0.00,34.50,1.50,b1
23500,42.00,0.00,18.00,0.00,33.67,0.94,b1
23750,42.00,0.00,19.50,0.50,35.25,1.30,b1
24000,42.00,0.00,18.00,0.00,35.75,0.43,b1
24250,42.00,0.00,18.00,0.00,35.00,1.41,b1
24500,42.00,0.00,18.00,0.00,35.00,1.41,b1
24750,42.00,0.00,18.00,0.00,35.25,1.30,b1
25000,42.00,0.00,18.00,0.00,36.00,0.00,b1
25250,42.00,0.00,18.75,0.83,35.25,1.30,b1
25500,42.00,0.00,20.25,0.43,35.00,1.22,b1
25750,42.00,0.00,20.25,0.43,34.25,1.30,b1
26000,42.00,0.00,19.50,0.50,35.75,0.43,b1
26250,42.00,0.00,18.75,0.43,35.00,1.22,b1
26500,42.00,0.00,18.00,0.00,35.00,1.41,b1
26750,42.00,0.00,18.00,0.00,34.00,1.41,b1
27000,42.00,0.00,18.00,0.00,35.25,1.30,b1
27250,42.00,0.00,18.00,0.00,35.25,1.30,b1
27500,42.00,0.00,18.00,0.00,35.25,1.30,b1
27750,42.00,0.00,17.75,0.43,36.00,0.00,b1
28000,42.33,0.47,17.50,0.50,35.00,1.41,b1
28250,42.00,0.00,17.67,0.47,36.00,0.00,b1
28500,42.00,0.00,18.00,0.00,35.25,1.30,b1
28750,42.00,0.00,18.00,0.00,34.50,1.50,b1
29000,42.00,0.00,19.00,0.71,33.75,1.30,b1
29250,42.00,0.00,20.00,0.00,33.75,1.30,b1
29500,42.00,0.00,20.00,0.71,35.00,1.22,b1
29750,42.00,0.00,19.00,0.00,33.67,0.94,b1
30000,42.00,0.00,20.40,0.80,35.40,1.20,b1
30250,42.00,0.00,21.00,0.00,36.00,0.00,b1
30500,42.00,0.00,20.60,0.49,35.40,1.20,b1
30750,42.00,0.00,19.33,0.47,34.00,1.41,b1
31000,42.00,0.00,19.50,0.50,35.75,0.43,b1
31250,42.00,0.00,19.75,0.43,35.00,1.41,b1
31500,42.00,0.00,19.50,0.50,34.50,1.50,b1
31750,42.00,0.00,20.50,0.50,33.75,1.30,b1
32000,42.00,0.00,20.67,0.47,34.50,1.50,b1
32250,42.00,0.00,20.25,0.43,34.50,1.50,b1
32500,42.00,0.00,20.00,0.00,35.25,1.30,b1
32750,42.00,0.00,19.75,0.43,33.75,1.30,b1
33000,42.00,0.00,19.25,0.43,35.25,1.30,b1
33250,42.00,0.00,19.00,0.00,36.00,0.00,b1
33500,42.00,0.00,18.50,0.50,35.25,1.30,b1
33750,42.00,0.00,18.75,0.43,35.25,1.30,b1
34000,42.00,0.00,20.00,0.00,36.00,0.00,b1
34250,42.00,0.00,20.33,0.47,35.33,0.94,b1
34500,42.00,0.00,21.00,0.00,35.00,1.41,b1
34750,42.00,0.00,21.00,0.00,35.00,1.22,b1
35000,42.00,0.00,21.00,0.00,34.50,1.50,b1
35250,42.00,0.00,21.00,0.00,35.25,1.30,b1
35500,42.00,0.00,20.50,0.50,35.00,1.41,b1
35750,42.00,0.00,21.00,0.00,36.00,0.00,b1
36000,42.00,0.00,20.50,0.50,36.00,0.00,b1
36250,42.00,0.00,20.25,0.43,34.75,1.30,b1
36500,42.00,0.00,19.75,0.43,36.00,0.00,b1
36750,42.00,0.00,19.50,0.50,35.25,1.30,b1
37000,42.00,0.00,19.75,0.43,36.00,0.00,b1
37250,42.00,0.00,19.50,0.50,35.25,1.30,b1
37500,42.00,0.00,20.00,0.71,36.00,0.00,b1
37750,42.00,0.00,20.00,0.00,36.00,0.00,b1
38000,42.00,0.00,19.33,0.47,35.00,1.41,b1
38250,42.00,0.00,21.00,0.00,33.00,0.00,b1
38500,41.00,1.22,22.50,1.12,33.50,0.87,b1
38750,39.00,0.82,24.00,0.00,33.00,0.00,b1
39000,39.00,0.00,24.00,0.00,33.00,0.00,b1
39250,39.00,0.00,24.00,0.00,33.00,0.00,b1
39500,39.00,0.00,24.00,0.00,35.75,0.43,b1
39750,38.75,0.43,24.00,0.00,35.25,1.30,b1
40000,38.75,0.43,24.00,0.00,35.25,1.30,b1
40250,38.50,0.50,24.00,0.00,33.75,1.30,b1
40500,38.50,0.50,24.00,0.00,33.75,1.30,b1
40750,38.00,1.00,24.00,0.00,33.00,0.00,b1
41000,38.25,0.83,24.00,0.00,34.00,1.41,b1
41250,38.50,0.50,24.00,0.00,34.00,1.41,b1
41500,38.50,0.50,24.00,0.00,36.00,0.00,b1
41750,38.67,0.47,24.00,0.00,35.00,1.41,b1
42000,38.75,0.43,24.00,0.00,36.00,0.00,b1
42250,38.50,0.50,24.75,0.43,35.25,1.30,b1
42500,38.33,0.47,25.67,0.94,33.00,0.00,b1
42750,38.75,0.43,24.00,0.00,33.75,1.30,b1
43000,39.00,0.00,19.25,1.64,36.00,0.00,b1
43250,39.00,0.00,17.75,0.43,35.25,1.30,b1
43500,39.50,0.50,15.25,1.79,36.00,0.00,b1
43750,41.25,0.43,15.00,0.71,36.00,0.00,b1
44000,41.75,0.43,16.00,0.00,36.00,0.00,b1
44250,41.25,0.83,14.75,0.43,36.00,0.00,b1
44500,41.50,0.50,14.25,0.43,36.00,0.00,b1
44750,41.25,0.83,15.50,0.50,35.25,0.83,b1
45000,41.25,0.83,16.00,0.00,34.50,1.50,b1
45250,41.00,1.00,16.00,0.00,35.25,1.30,b1
45500,41.50,0.50,15.25,0.43,36.00,0.00,b1
45750,41.25,0.83,16.00,0.00,36.00,0.00,b1
46000,41.00,1.00,16.00,0.00,36.00,0.00,b1
46250,40.50,0.50,16.00,0.00,36.00,0.00,b1
46500,41.00,1.00,16.00,0.00,36.00,0.00,b1
46750,40.67,0.47,16.00,0.00,36.00,0.00,b1
47000,40.50,0.50,16.00,0.00,36.00,0.00,b1
47250,40.75,0.83,16.25,0.43,36.00,0.00,b1
47500,40.67,0.94,16.00,0.00,36.00,0.00,b1
47750,40.50,0.50,16.00,0.00,36.00,0.00,b1
48000,40.50,0.50,15.67,0.47,36.00,0.00,b1
48250,40.50,0.50,16.00,0.00,36.00,0.00,b1
48500,40.75,0.83,16.00,0.00,36.00,0.00,b1
48750,41.00,1.00,17.00,0.00,36.00,0.00,b1
49000,40.75,0.83,17.00,0.00,36.00,0.00,b1
49250,40.75,0.83,17.00,0.00,36.00,0.00,b1
49500,40.50,0.50,17.00,0.00,36.00,0.00,b1
49750,40.50,0.50,16.75,0.43,36.00,0.00,b1
50000,40.50,0.50,17.00,0.00,36.00,0.00,b1
50250,40.50,0.50,16.33,0.47,36.00,0.00,b1
50500,40.75,0.83,16.67,0.47,36.00,0.00,b1
50750,40.50,0.50,17.00,0.00,36.00,0.00,b1
51000,40.50,0.50,16.67,0.47,36.00,0.00,b1
51250,40.67,0.47,17.00,0.00,36.00,0.00,b1
51500,40.25,0.83,16.75,0.43,36.00,0.00,b1
51750,40.33,0.47,17.00,0.00,36.00,0.00,b1
52000,40.50,0.50,16.67,0.47,36.00,0.00,b1
52250,40.00,1.00,17.00,0.00,36.00,0.00,b1
52500,40.25,0.83,16.75,0.43,35.25,1.30,b1
52750,40.50,0.50,17.00,0.71,36.00,0.00,b1
53000,40.50,0.50,17.00,0.00,36.00,0.00,b1
53250,40.50,0.50,18.00,0.00,36.00,0.00,b1
53500,40.25,0.83,17.25,0.83,36.00,0.00,b1
53750,40.67,0.47,17.00,0.00,36.00,0.00,b1
54000,40.50,0.50,16.75,0.43,36.00,0.00,b1
54250,40.50,0.50,16.00,0.00,35.25,1.30,b1
54500,40.67,0.47,16.75,0.83,36.00,0.00,b1
54750,40.67,0.47,17.25,0.83,36.00,0.00,b1
55000,40.25,0.83,15.25,0.83,33.75,1.30,b1
55250,40.33,0.47,11.33,2.49,34.50,1.50,b1
55500,40.25,0.83,4.00,1.22,34.50,1.50,b1
55750,40.00,1.00,4.00,1.00,34.25,1.30,b1
56000,40.25,0.83,4.25,2.17,34.50,1.50,b1
56250,40.25,0.83,5.75,1.30,34.50,1.50,b1
