time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
0,29.00,0.00,9.00,0.71,8.50,0.50
250,29.00,0.00,8.00,0.71,8.50,0.50
500,29.00,0.00,8.00,0.71,8.00,1.00
750,28.50,0.50,8.25,0.43,8.75,0.43
1000,29.00,0.00,8.75,1.09,9.00,0.00
1250,29.00,0.00,8.75,1.09,9.00,0.00
1500,29.00,0.00,8.75,1.09,9.00,0.00
1750,29.00,0.00,8.53,0.62,8.80,0.54
2000,29.00,0.00,8.53,0.62,8.80,0.54
2250,29.00,0.00,8.50,0.50,8.50,0.50
2500,29.00,0.00,7.25,0.43,8.75,0.43
2750,29.00,0.00,7.25,0.43,9.00,0.00
3000,29.00,0.00,7.00,0.00,8.75,0.43
3250,29.00,0.00,7.33,0.47,8.67,0.47
3500,29.00,0.00,8.50,0.50,8.75,0.43
3750,29.00,0.00,8.50,0.50,9.00,0.00
4000,29.00,0.00,7.50,0.50,8.67,0.47
4250,29.00,0.00,7.75,0.43,8.50,0.50
4500,29.00,0.00,6.67,0.94,8.50,0.50
4750,29.00,0.00,6.50,0.50,8.50,0.50
5000,29.00,0.00,6.50,0.87,9.25,0.43
5250,28.75,0.43,6.75,0.83,9.00,0.00
5500,28.75,0.43,7.25,0.83,9.00,0.00
5750,28.75,0.43,7.25,1.09,9.00,0.00
6000,29.00,0.00,6.67,0.47,9.00,0.00
6250,29.00,0.00,7.00,0.71,8.50,0.50
6500,28.75,0.43,8.00,0.82,9.00,0.00
6750,29.00,0.00,8.00,1.00,8.50,0.50
7000,29.00,0.00,7.20,1.17,8.50,0.50
7250,29.00,0.00,7.75,1.09,9.00,0.00
7500,29.00,0.00,4.67,0.47,9.75,1.30
7750,29.00,0.00,4.00,1.63,11.00,0.82
8000,28.75,0.43,5.00,0.00,10.00,1.00
8250,29.00,0.00,3.00,0.82,7.50,0.87
8500,29.00,0.00,4.00,0.00,4.75,1.30
8750,29.00,0.00,6.00,2.00,9.00,3.54
9000,28.50,0.50,4.75,1.30,9.25,2.17
9250,29.00,0.00,6.00,2.45,5.75,1.48
9500,29.00,0.00,6.25,2.68,7.50,1.50
9750,29.00,0.00,8.50,1.80,9.25,0.43
10000,28.75,0.43,7.00,2.12,11.00,1.22
10250,29.00,0.00,7.25,1.30,10.75,1.09
10500,29.00,0.00,6.67,0.47,11.67,0.47
10750,29.25,0.43,5.00,2.16,10.67,1.25
11000,29.00,0.00,6.25,1.30,11.25,0.83
11250,29.00,0.00,4.00,1.00,9.67,0.47
11500,29.50,0.50,5.60,0.80,10.40,1.02
11750,29.75,0.43,6.00,0.00,10.00,0.82
12000,29.75,0.43,5.50,0.87,11.50,0.50
12250,29.33,0.47,6.25,0.83,12.00,0.00
12500,29.00,0.00,7.75,0.83,11.75,0.43
12750,28.75,0.43,8.25,0.83,11.75,0.43
13000,28.67,0.47,8.33,0.47,11.25,0.83
13250,28.50,0.50,8.75,0.43,11.25,0.43
13500,28.67,0.47,8.00,0.82,11.50,0.50
13750,28.75,0.43,6.50,1.12,11.00,1.22
14000,29.75,0.43,6.50,1.80,12.25,0.43
14250,29.00,0.00,6.00,0.71,12.00,0.00
14500,29.25,0.43,3.67,0.47,11.50,1.80
14750,29.50,0.87,3.00,2.16,11.75,1.09
15000,28.50,0.87,5.00,2.55,12.00,0.00
15250,28.50,1.12,7.00,2.12,11.00,0.71
15500,27.75,0.83,7.00,2.00,9.67,0.94
15750,26.50,0.50,7.33,2.36,11.50,0.50
16000,26.50,0.87,7.33,1.25,12.25,1.09
16250,27.00,0.00,6.50,3.57,10.25,1.30
16500,26.00,0.82,5.00,1.00,9.00,1.41
16750,26.67,0.47,8.00,0.82,8.00,0.71
17000,28.25,0.43,8.00,3.00,6.33,1.25
17250,28.00,0.71,4.25,1.48,7.25,1.48
17500,29.50,0.50,0.00,0.00,8.00,1.87
17750,29.75,0.43,3.50,1.50,9.50,0.87
18000,29.25,1.30,4.67,2.87,9.50,1.50
18250,26.25,1.48,2.50,1.12,10.25,1.09
18500,27.00,0.00,5.33,3.30,6.75,2.59
18750,27.00,0.00,11.75,0.43,6.75,1.30
19000,27.25,0.43,10.75,1.09,6.50,1.12
19250,27.25,0.43,10.25,0.83,6.00,0.71
19500,28.50,1.12,6.25,1.09,6.25,1.48
19750,27.50,0.87,4.50,1.50,7.33,1.25
20000,26.75,0.43,3.00,0.82,10.00,1.00
20250,26.50,0.50,4.33,0.47,10.33,0.47
20500,25.75,0.83,0.00,0.00,9.33,1.25
20750,27.00,0.00,10.00,1.00,7.25,1.79
21000,25.75,0.83,3.50,0.50,8.50,0.50
21250,27.00,0.00,7.75,1.09,9.33,0.47
21500,27.00,0.00,3.00,0.00,10.33,0.94
21750,25.25,0.83,4.00,0.82,9.50,1.12
22000,24.50,0.50,5.00,1.58,8.75,0.43
22250,24.50,0.50,6.33,2.05,8.50,0.50
22500,26.00,1.22,5.50,2.50,9.00,0.00
22750,27.00,0.00,5.33,0.94,8.75,0.43
23000,27.00,0.00,6.75,0.43,8.50,0.50
23250,27.00,0.00,7.00,0.00,9.00,0.00
23500,27.00,0.00,6.50,0.50,9.00,0.00
23750,27.00,0.00,7.25,1.09,9.00,0.00
24000,27.00,0.00,8.00,0.00,8.33,0.47
24250,27.00,0.00,8.00,0.71,9.00,0.00
24500,27.00,0.00,7.00,0.71,8.75,0.43
24750,27.00,0.00,7.75,0.83,9.25,0.43
25000,27.00,0.00,8.33,0.47,9.00,0.00
25250,27.00,0.00,8.50,0.50,9.00,0.00
25500,27.00,0.00,7.50,0.50,8.75,0.43
25750,27.00,0.00,6.25,0.43,8.75,0.43
26000,27.00,0.00,6.25,0.43,8.75,0.43
26250,27.00,0.00,8.33,0.47,9.00,0.00
26500,27.00,0.00,6.75,0.83,9.00,0.00
26750,27.00,0.00,7.00,0.71,9.00,0.00
27000,27.00,0.00,8.33,0.94,9.00,0.00
27250,27.00,0.00,8.33,0.94,9.00,0.00
27500,27.00,0.00,5.00,0.82,8.33,0.94
27750,27.00,0.00,7.50,0.50,7.75,0.43
28000,27.00,0.00,7.00,0.00,7.50,1.12
28250,27.00,0.00,7.00,1.22,9.00,0.00
28500,27.00,0.00,7.75,0.83,8.50,0.50
28750,27.00,0.00,8.00,0.71,8.75,0.43
29000,27.00,0.00,7.00,1.00,8.75,0.43
29250,27.00,0.00,6.50,0.87,9.00,0.00
29500,27.00,0.00,6.67,0.94,9.00,0.00
29750,27.00,0.00,7.00,0.82,9.00,0.00
30000,27.00,0.00,7.00,0.00,9.00,0.00
30250,27.00,0.00,7.67,0.47,9.00,0.00
30500,27.00,0.00,8.00,0.71,8.50,0.50
30750,27.00,0.00,7.25,0.43,9.00,0.00
31000,27.00,0.00,6.67,0.47,8.50,0.87
31250,27.00,0.00,6.00,0.00,8.25,0.43
31500,27.00,0.00,7.00,0.71,8.50,0.50
31750,27.00,0.00,6.75,0.43,8.50,0.50
32000,27.00,0.00,6.67,0.94,8.33,0.47
32250,27.00,0.00,6.75,0.43,8.75,0.43
32500,27.00,0.00,6.25,0.43,9.00,0.00
32750,27.00,0.00,6.50,0.50,8.75,0.43
33000,27.00,0.00,6.75,0.83,8.67,0.47
33250,27.00,0.00,7.75,0.83,8.50,0.50
33500,27.00,0.00,7.25,0.43,8.50,0.50
33750,27.00,0.00,7.33,0.47,8.50,0.50
34000,27.00,0.00,8.00,0.71,8.50,0.50
34250,27.00,0.00,7.00,0.82,8.50,0.50
34500,27.00,0.00,0.00,0.00,9.00,0.00
34750,27.67,0.47,4.00,0.00,8.25,1.09
35000,28.50,0.50,0.00,0.00,11.25,0.83
35250,27.25,0.43,0.00,0.00,11.67,0.47
35500,27.00,0.00,1.00,0.00,12.00,0.00
35750,26.33,0.47,0.00,0.00,12.00,0.00
36000,27.00,0.00,0.00,0.00,12.00,0.00
36250,27.00,0.00,1.00,0.00,12.00,0.00
36500,27.00,0.00,0.00,0.00,12.00,0.00
36750,27.00,0.00,0.00,0.00,12.00,0.00
37000,28.25,0.83,2.00,0.00,9.25,1.48
37250,27.75,0.43,1.00,0.00,7.25,1.09
37500,26.75,1.09,3.75,0.83,9.00,0.00
37750,25.25,1.09,4.25,2.05,8.25,1.30
38000,26.25,1.48,2.50,0.50,10.75,1.64
38250,28.00,0.71,3.00,0.82,11.50,0.87
38500,28.00,0.00,3.00,0.00,12.50,0.50
38750,27.50,0.87,2.00,0.00,12.50,0.50
39000,27.00,0.00,2.67,0.47,12.25,0.43
39250,27.00,0.00,4.00,1.73,9.25,0.43
39500,27.00,0.00,6.00,0.71,10.00,0.71
39750,27.75,0.43,5.00,0.00,9.50,0.87
40000,28.00,0.71,0.00,0.00,9.67,0.94
40250,28.00,0.00,3.50,0.50,10.00,1.41
40500,26.25,1.48,3.50,0.50,11.50,0.50
40750,25.67,0.94,3.00,0.00,11.00,1.22
41000,28.75,0.43,1.00,0.00,12.00,0.00
41250,29.00,0.00,1.50,0.50,11.75,0.43
41500,29.75,0.43,4.75,1.92,11.50,0.87
41750,28.75,1.09,4.50,0.50,11.50,0.87
42000,26.25,0.83,8.67,2.05,7.00,0.00
42250,24.50,0.50,8.00,1.63,14.00,1.41
42500,24.33,0.47,6.50,2.29,15.67,0.47
42750,25.33,0.47,11.67,0.47,15.00,0.00
43000,25.25,0.43,12.00,0.00,13.00,1.00
43250,25.00,0.00,10.50,0.50,13.75,1.30
43500,25.50,0.50,8.00,0.82,15.00,0.71
43750,26.75,0.43,4.67,1.70,15.00,0.00
44000,26.75,0.43,7.50,1.12,14.25,0.43
44250,26.50,0.50,8.25,1.30,12.25,0.43
44500,26.25,0.43,6.25,1.79,14.75,1.79
44750,25.75,0.43,8.67,0.47,17.33,0.94
45000,25.25,0.83,11.50,0.50,18.75,0.83
45250,26.00,0.82,11.75,0.43,18.67,0.47
45500,26.67,0.47,9.00,0.82,18.00,0.00
45750,26.50,0.50,10.50,1.50,18.50,0.50
46000,26.50,0.50,12.00,0.00,19.00,0.71
46250,25.75,0.43,11.75,0.43,20.00,0.71
46500,25.50,0.50,11.25,1.92,18.00,0.71
46750,25.75,0.83,10.50,1.12,19.25,1.09
47000,26.00,0.71,11.50,0.50,20.50,0.87
47250,26.25,0.83,11.25,1.30,21.00,0.00
47500,23.50,1.50,10.25,1.30,20.50,0.87
47750,26.75,1.79,12.67,1.70,14.67,1.25
48000,28.25,0.83,10.50,1.66,14.75,0.43
48250,27.00,0.00,12.25,1.48,12.25,1.09
48500,27.00,0.00,9.25,0.43,12.00,0.00
48750,27.00,0.00,10.75,0.43,12.25,0.43
49000,27.00,0.00,11.75,0.43,12.50,0.87
49250,27.00,0.00,13.25,1.09,11.67,0.47
49500,27.00,0.00,10.00,1.41,12.00,0.71
49750,24.25,0.43,12.00,1.63,13.00,1.22
50000,27.00,0.00,13.00,0.82,11.75,0.43
50250,27.00,0.00,11.67,0.47,12.00,0.00
50500,27.00,0.00,12.25,0.43,12.00,0.00
50750,27.00,0.00,12.00,0.00,12.00,0.00
51000,27.00,0.00,12.25,0.43,12.25,0.43
51250,27.00,0.00,11.50,0.50,12.00,0.00
51500,26.83,0.37,11.20,0.75,12.00,0.00
51750,25.33,1.25,11.50,0.87,11.67,1.25
52000,25.25,1.09,12.25,1.09,11.00,0.71
52250,28.00,0.00,6.25,1.92,9.50,0.87
52500,28.00,0.00,8.50,1.12,10.00,0.82
52750,28.00,0.00,8.00,1.41,9.50,0.50
53000,28.00,0.00,5.25,0.43,9.25,0.43
53250,26.50,1.12,11.50,2.06,9.75,0.83
53500,23.75,0.43,10.50,1.12,11.50,0.87
53750,26.00,1.22,12.00,0.00,10.25,0.83
54000,27.00,0.00,11.50,0.87,10.75,0.83
54250,27.00,0.00,10.25,1.30,10.00,0.71
54500,27.00,0.00,12.00,0.00,10.00,0.82
54750,27.00,0.00,11.50,0.50,10.00,1.00
55000,27.00,0.00,11.25,0.83,11.33,0.94
55250,27.00,0.00,10.25,0.83,9.67,0.47
55500,25.75,1.30,11.25,0.83,9.00,0.71
55750,25.00,1.58,10.50,1.50,7.50,2.69
56000,27.25,0.43,7.00,1.87,4.50,2.69
56250,27.00,0.00,11.00,1.22,6.00,2.45
56500,27.00,0.00,9.00,0.00,0.00,0.00
56750,27.00,0.00,11.33,0.94,7.00,0.00
57000,27.50,0.50,8.00,2.74,7.25,1.48
57250,26.25,1.48,10.50,1.50,5.50,4.50
57500,25.00,1.22,9.50,1.50,9.75,0.83
57750,27.00,0.00,9.75,0.83,10.00,0.71
58000,27.00,0.00,11.50,0.87,10.50,0.50
58250,27.00,0.00,9.25,0.43,9.50,0.87
58500,26.75,0.43,9.00,0.82,10.00,0.82
58750,27.00,0.00,10.33,1.25,10.25,0.83
59000,25.67,1.25,10.50,0.87,10.67,1.25
59250,24.00,0.00,9.67,0.94,10.67,0.94
59500,26.25,1.30,8.75,2.59,5.50,0.50
59750,27.00,0.00,6.25,1.30,3.67,0.47
60000,26.25,0.83,9.50,1.12,6.00,0.00
60250,24.75,0.83,8.67,0.47,8.75,1.79
60500,26.50,0.87,10.25,0.83,10.75,0.43
60750,27.50,0.50,6.25,3.42,6.50,2.06
61000,27.00,0.00,3.00,2.16,1.33,0.47
61250,27.00,0.00,6.25,0.43,2.00,0.00
61500,27.25,0.43,6.50,0.50,2.00,0.00
61750,27.00,0.00,5.33,0.94,1.33,0.47
62000,27.25,0.43,4.00,2.16,4.00,2.16
62250,25.00,1.22,5.75,1.92,5.75,0.83
62500,26.25,1.48,6.25,1.09,4.75,0.83
62750,28.33,0.47,3.00,1.00,5.33,0.94
63000,27.75,0.43,1.75,0.43,6.00,0.71
63250,28.00,0.00,0.00,0.00,4.33,0.94
63500,27.67,0.47,1.00,0.00,1.33,0.47
63750,25.00,1.22,6.25,1.09,4.00,0.00
64000,25.75,1.09,5.75,1.64,4.00,1.63
64250,27.00,0.00,4.50,1.50,4.00,0.00
64500,27.00,0.00,3.33,2.05,0.00,0.00
64750,27.00,0.00,6.00,0.71,0.00,0.00
65000,27.00,0.00,3.33,1.25,1.00,0.00
65250,27.00,0.00,7.00,2.00,7.67,0.94
65500,25.25,1.30,6.33,1.25,5.67,0.47
65750,25.50,1.12,5.00,1.00,3.20,1.33
66000,27.75,0.43,0.00,0.00,4.75,0.83
66250,27.00,0.00,3.67,2.05,4.33,0.94
66500,27.00,0.00,6.00,0.71,4.00,0.71
66750,27.75,0.43,2.00,1.00,5.00,0.71
67000,27.00,0.71,1.00,0.00,4.00,0.71
67250,24.00,0.00,5.67,0.47,3.00,1.00
67500,25.75,1.30,6.75,1.48,5.50,1.12
67750,27.00,0.00,5.00,2.94,6.25,0.43
68000,27.00,0.00,5.00,2.00,4.75,0.43
68250,27.00,0.00,6.00,0.00,2.00,1.41
68500,27.00,0.00,3.00,2.00,5.00,0.82
68750,27.00,0.00,5.00,0.00,4.33,1.25
